Freq (Hz)	Gxymic/ref_Real	Gxymic/ref_Imag
492.0000000000000000	-0.0017006374692007	0.0009286470634233
493.0000000000000000	-0.0024374987413017	0.0010879792483490
494.0000000000000000	-0.0027458307701029	0.0011194262805723
495.0000000000000000	-0.0020947149502393	0.0008678264544735
496.0000000000000000	-0.0010935073180524	0.0005843803273725
497.0000000000000000	-0.0014440721445844	0.0009737733610172
498.0000000000000000	-0.0024973117100599	0.0018900869924104
499.0000000000000000	-0.0027078249833417	0.0021956028339701
500.0000000000000000	-0.0022034795006747	0.0019714112226945
501.0000000000000000	-0.0017355397519321	0.0016194800982118
502.0000000000000000	-0.0015888705567017	0.0016543610947086
503.0000000000000000	-0.0021181766211376	0.0020666636483574
504.0000000000000000	-0.0013472335718741	0.0012445462021711
505.0000000000000000	-0.0015656526692725	0.0014083929529741
506.0000000000000000	-0.0016603423322259	0.0015005854379571
507.0000000000000000	-0.0022688707182115	0.0019522709114294
508.0000000000000000	-0.0011245342343835	0.0009263677039878
509.0000000000000000	-0.0015483278213584	0.0013253697150570
510.0000000000000000	-0.0020986420418306	0.0018977026810517
511.0000000000000000	-0.0024966976959830	0.0027555464553307
512.0000000000000000	-0.0028067262713034	0.0035145146190980
513.0000000000000000	-0.0017650392736259	0.0027597505765875
514.0000000000000000	-0.0013377408264803	0.0025996790675002
515.0000000000000000	-0.0014059613895115	0.0031780662642165
516.0000000000000000	-0.0010115725173968	0.0024248175061275
517.0000000000000000	-0.0009593655591859	0.0025785339651124
518.0000000000000000	-0.0008335763115333	0.0022349040783711
519.0000000000000000	-0.0008198062764495	0.0020217502507060
520.0000000000000000	-0.0010888159044079	0.0030192313442454
521.0000000000000000	-0.0010608185973712	0.0030180945610484
522.0000000000000000	-0.0004796995252097	0.0018905706589555
523.0000000000000000	-0.0005577285212610	0.0018617188511389
524.0000000000000000	-0.0007459968860921	0.0028649915878609
525.0000000000000000	-0.0007554653802818	0.0023485798749591
526.0000000000000000	-0.0007681245503782	0.0027285134331921
527.0000000000000000	-0.0002714303060431	0.0016751268495115
528.0000000000000000	-0.0005541914005028	0.0021708360091815
528.9999999999999990	-0.0011694600895682	0.0030741405738113
