Signaux reflechis et transmis pour une structure 
Signal echographique : ser2_25.tam
Milieu incident : eau
Milieu de refraction : eau
Nombre de periodes   1
Couche   1	 : nickel	Epaisseur (mm) : 5.00000000e+00
Epaisseur totale h d'une periode (mm) : 5.00000000e+00
Epaisseur totale H de la plaque (mm) : 5.00000000e+00
Pas frequentiel (MHz) : 9.76562500e-03
Pas temporel (µs) : 5.00000000e-02
Angle d'incidence (degre) : 0.00000000e+00
 



no	temps (µs)	SR	ST
395	1.97000000e+01	1.42633533e-04	-1.96587539e-04
396	1.97500000e+01	-2.00499402e-03	6.66556482e-05
397	1.98000000e+01	-3.69101213e-03	2.06499667e-04
398	1.98500000e+01	-3.61427691e-03	2.05732841e-04
399	1.99000000e+01	-1.67403228e-03	1.08037862e-04
400	1.99500000e+01	9.41004820e-04	-3.31188273e-06
401	2.00000000e+01	2.76022656e-03	-7.60603265e-05
402	2.00500000e+01	3.04165502e-03	-1.00188619e-04
403	2.01000000e+01	2.02234545e-03	-8.11675435e-05
404	2.01500000e+01	4.85197251e-04	-4.99357219e-05
405	2.02000000e+01	-7.93457627e-04	-2.06496805e-05
406	2.02500000e+01	-1.35540749e-03	-1.08988848e-05
407	2.03000000e+01	-1.16190761e-03	-4.13772327e-05
408	2.03500000e+01	-5.18152619e-04	-8.53054443e-05
409	2.04000000e+01	1.51294099e-04	-2.76311104e-04
410	2.04500000e+01	5.42280642e-04	-8.16607515e-04
411	2.05000000e+01	5.83446068e-04	-1.35732466e-03
412	2.05500000e+01	3.82842805e-04	-1.08234872e-03
413	2.06000000e+01	1.06985862e-04	3.76742641e-04
414	2.06500000e+01	-1.11570095e-04	2.37773192e-03
415	2.07000000e+01	-2.05601002e-04	3.57485158e-03
416	2.07500000e+01	-1.71748187e-04	2.97974015e-03
417	2.08000000e+01	-7.02858613e-05	8.73196754e-04
418	2.08500000e+01	2.57296129e-05	-1.46365080e-03
419	2.09000000e+01	8.26671678e-05	-2.78525313e-03
420	2.09500000e+01	9.08649374e-05	-2.65556912e-03
421	2.10000000e+01	6.76866952e-05	-1.49447108e-03
422	2.10500000e+01	3.95851569e-05	-7.12207560e-05
423	2.11000000e+01	1.28761218e-05	9.59883667e-04
424	2.11500000e+01	1.60184514e-05	1.27287972e-03
425	2.12000000e+01	4.90989412e-05	9.39218614e-04
426	2.12500000e+01	1.02968422e-04	2.97069354e-04
427	2.13000000e+01	3.54926537e-04	-2.75263227e-04
428	2.13500000e+01	9.03463287e-04	-5.45131868e-04
429	2.14000000e+01	1.26756681e-03	-5.06069003e-04
430	2.14500000e+01	7.19582340e-04	-2.85987100e-04
