Signaux reflechis et transmis pour une structure 
Signal echographique : ser2_25.tam
Milieu incident : eau
Milieu de refraction : eau
Nombre de periodes   1
Couche   1	 : nickel	Epaisseur (mm) : 1.00000000e+01
Epaisseur totale h d'une periode (mm) : 1.00000000e+01
Epaisseur totale H de la plaque (mm) : 1.00000000e+01
Pas frequentiel (MHz) : 9.76562500e-03
Pas temporel (µs) : 5.00000000e-02
Angle d'incidence (degre) : 1.00000000e+01
 



no	temps (µs)	SR	ST
156	7.75000000e+00	6.29071121e-03	1.57952203e-03
157	7.80000000e+00	2.64079691e-03	1.89889945e-03
158	7.85000000e+00	-9.55965006e-04	7.79765228e-04
159	7.90000000e+00	-3.17536807e-03	-1.50447663e-03
160	7.95000000e+00	-3.51909866e-03	-3.59868486e-03
161	8.00000000e+00	-2.31349621e-03	-3.95523077e-03
162	8.05000000e+00	-4.32436454e-04	-2.19018545e-03
163	8.10000000e+00	1.17653470e-03	5.80922992e-04
164	8.15000000e+00	1.91060201e-03	2.73429482e-03
165	8.20000000e+00	1.66420692e-03	3.19196869e-03
166	8.25000000e+00	7.87767720e-04	1.98199400e-03
167	8.30000000e+00	-1.68094086e-04	8.45168849e-05
168	8.35000000e+00	-7.57592438e-04	-1.38499126e-03
169	8.40000000e+00	-8.02287287e-04	-1.73821657e-03
170	8.45000000e+00	-4.78891437e-04	-1.06048117e-03
171	8.50000000e+00	-1.19184363e-04	-4.90762071e-04
172	8.55000000e+00	1.27726010e-04	-1.14056467e-03
173	8.60000000e+00	2.59996018e-04	-2.38257969e-03
174	8.65000000e+00	2.81683009e-04	-2.21461531e-03
175	8.70000000e+00	2.23039666e-04	5.46506643e-04
176	8.75000000e+00	1.09296007e-04	4.73067046e-03
177	8.80000000e+00	-5.36110811e-05	7.40643897e-03
178	8.85000000e+00	-2.21427971e-04	6.37832456e-03
179	8.90000000e+00	-3.15556122e-04	2.19336157e-03
180	8.95000000e+00	-2.46767486e-04	-2.51082712e-03
181	9.00000000e+00	6.76452090e-05	-5.25360389e-03
182	9.05000000e+00	5.66302291e-04	-5.27968524e-03
183	9.10000000e+00	9.02203716e-04	-3.43957717e-03
184	9.15000000e+00	6.85678983e-04	-1.02237403e-03
185	9.20000000e+00	-6.67323492e-05	1.00190971e-03
186	9.25000000e+00	-8.90342028e-04	2.11871708e-03
187	9.30000000e+00	-1.24005430e-03	2.27128579e-03
188	9.35000000e+00	-9.01205038e-04	1.65999339e-03
189	9.40000000e+00	-1.59457440e-04	6.20829206e-04
190	9.45000000e+00	4.51728144e-04	-4.33537892e-04
191	9.50000000e+00	5.99696940e-04	-1.27441864e-03
192	9.55000000e+00	3.78074718e-04	-1.77054938e-03
193	9.60000000e+00	1.11667216e-04	-1.66841796e-03
194	9.65000000e+00	1.24110402e-05	-8.30251420e-04
195	9.70000000e+00	7.25896048e-05	5.24916881e-04
196	9.75000000e+00	1.09932414e-04	1.77741568e-03
197	9.80000000e+00	7.48153401e-05	2.16902858e-03
198	9.85000000e+00	3.64990514e-04	1.42749777e-03
199	9.90000000e+00	1.17140824e-03	-1.35896698e-05
200	9.95000000e+00	1.74226549e-03	-1.30785464e-03
201	1.00000000e+01	1.05602414e-03	-1.70493678e-03
202	1.00500000e+01	-1.04696681e-03	-1.14789059e-03
203	1.01000000e+01	-3.45374601e-03	-1.79301129e-04
204	1.01500000e+01	-4.41764311e-03	6.15388001e-04
205	1.02000000e+01	-3.08770492e-03	8.67059381e-04
206	1.02500000e+01	-2.49838368e-04	6.49822993e-04
207	1.03000000e+01	2.46442594e-03	1.34170484e-04
208	1.03500000e+01	3.70747919e-03	-1.02898273e-03
